id,langue,examen1,reponse
1,japonais,1.530454029038475,correct
2,italien,93.3436308079483,correct
3,japonais,50.103988391525924,correct
4,japonais,53.93774484000625,correct
5,italien,68.3963769398141,correct
6,italien,61.585116438991385,correct
7,japonais,94.38916045607571,correct
8,alemmand,94.42515971251673,correct
9,japonais,86.71989335550037,correct
10,japonais,63.64035974460113,incorrect
11,japonais,80.09492946823997,incorrect
12,japonais,67.71683423829818,correct
13,italien,57.33670416719333,correct
14,japonais,12.850035323391019,incorrect
15,alemmand,81.1204176736003,correct
16,italien,82.06394757439554,correct
17,alemmand,62.59396701015728,correct
18,alemmand,82.0426843771268,incorrect
19,alemmand,65.1484771857788,correct
20,alemmand,20.66843598767454,correct
21,italien,27.396112732113377,correct
22,italien,21.458911970837413,correct
23,alemmand,37.725908322797586,correct
24,alemmand,3.896313231023363,incorrect
25,italien,61.825388433789286,correct
26,italien,33.65542148887265,correct
27,italien,65.57226353807421,incorrect
28,japonais,38.539662096556505,incorrect
29,japonais,68.16136689727898,incorrect
30,japonais,34.062456946424,correct
31,alemmand,26.06945282359031,correct
32,japonais,49.60374542934062,correct
33,alemmand,69.28903586919394,correct
34,alemmand,34.83366044531974,correct
35,japonais,93.66481518557073,incorrect
36,alemmand,3.9186326675646255,correct
37,japonais,41.794603171557874,incorrect
38,japonais,96.75805515202475,incorrect
39,italien,54.79718832480873,correct
40,japonais,42.347094230811855,incorrect
41,italien,56.85202837499583,correct
42,japonais,57.59245752580846,incorrect
43,japonais,73.16477552996402,incorrect
44,italien,12.76897294224656,correct
45,italien,25.001644921610467,incorrect
46,japonais,58.05440123439099,incorrect
47,alemmand,86.7116607209722,correct
48,italien,56.18666921437736,correct
49,alemmand,23.85968597903402,correct
50,alemmand,67.98447799002459,correct
51,alemmand,73.99087604473745,correct
52,italien,23.823615240397945,correct
53,alemmand,37.772888617629484,incorrect
54,italien,53.43274735305634,correct
55,alemmand,49.65611906830777,incorrect
56,japonais,38.96180862192035,incorrect
57,japonais,29.763517450931086,incorrect
58,italien,9.998488716186337,incorrect
59,japonais,5.3485296747368904,incorrect
60,japonais,95.85414968831984,correct
61,alemmand,84.71431440955898,incorrect
62,italien,35.49051904627206,correct
63,alemmand,95.68008851264564,correct
64,alemmand,67.67699044243032,incorrect
65,alemmand,48.252094964264245,correct
66,alemmand,49.3025657771805,incorrect
67,alemmand,8.328441119525964,correct
68,alemmand,9.170414725848108,incorrect
69,alemmand,60.2440925901119,correct
70,italien,55.37030523458007,incorrect
71,japonais,21.272789502422896,incorrect
72,alemmand,94.61945428816902,correct
73,alemmand,78.12960504712025,correct
